event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
BGD28031,5-Aug-24,2024,1,Political violence,Riots,Mob violence,Rioters (Bangladesh),,Rioters,Rioters only,,50,South Asia,Bangladesh,Rangpur,Rangpur,Taraganj,Taraganj,25.79,89.04,1,Prothom Alo,National,"On 5 August 2024, unidentified assailants attacked, vandalized and set ablaze the place of worship of the Ahmadiyya community in Taraganj town (Rangpur), amid the outbreak of violence after the resignation of the Prime Minister, following anti-government demonstrations emerging from the quota reform movement. They also vandalized the Upazila Parishad, the portrait of Bangabandhu and Bangabandhu's mural in the Muktijoddha building, and looted 460 sacks from the chemical fertilizer godown of the Taraganj upazila Awami League president in the Chowpathi area of Taraganj town.",0,crowd size=no report; local administrators,1723576772
BGD28032,5-Aug-24,2024,1,Political violence,Riots,Mob violence,Rioters (Bangladesh),,Rioters,Rioters-Civilians,Civilian targeting,50,South Asia,Bangladesh,Dhaka,Shariatpur,Shariatpur Sadar,Shariatpur,23.21,90.35,1,Prothom Alo,National,"On 5 August 2024, unidentified persons vandalized a Hindu temple in Shariatpur city (Shariatpur Sadar, Dhaka), amid the outbreak of violence after the resignation of the Prime Minister, following anti-government demonstrations emerging from the quota reform movement. Locals (likely Hindu based on the place) were inside the temple at the time, and left after Army troopers arrived at the place.",0,crowd size=no report,1723576772
BGD28032,5-Aug-24,2024,1,Political violence,Riots,Mob violence,Civilians (Bangladesh),Hindu Group (Bangladesh),Civilians,Rioters-Civilians,Civilian targeting,50,South Asia,Bangladesh,Dhaka,Shariatpur,Shariatpur Sadar,Shariatpur,23.21,90.35,1,Prothom Alo,National,"On 5 August 2024, unidentified persons vandalized a Hindu temple in Shariatpur city (Shariatpur Sadar, Dhaka), amid the outbreak of violence after the resignation of the Prime Minister, following anti-government demonstrations emerging from the quota reform movement. Locals (likely Hindu based on the place) were inside the temple at the time, and left after Army troopers arrived at the place.",0,crowd size=no report,1723576772
BGD28034,5-Aug-24,2024,1,Political violence,Riots,Mob violence,Rioters (Bangladesh),,Rioters,Rioters only,,50,South Asia,Bangladesh,Chittagong,Cox's Bazar,Teknaf,Teknaf,20.8583,92.2977,1,Prothom Alo,National,"On 5 August 2024, unidentified assailants set alight the Awami League office and the business establishment of a former member of parliament of Cox's Bazar-3 constituency in Teknaf upazila (Cox's Bazar), amid the outbreak of violence after the resignation of the Prime Minister, following anti-government demonstrations emerging from the quota reform movement.",0,crowd size=no report,1723576772
BGD28035,5-Aug-24,2024,1,Political violence,Riots,Mob violence,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party,Rioters,Rioters-Civilians,Civilian targeting,50,South Asia,Bangladesh,Chittagong,Noakhali,Hatiya,Hatiya,22.2883,91.1398,2,Prothom Alo,National,"On 5 August 2024, unidentified persons attacked, looted, and vandalized three houses, including that of the president of Upazila Hindu Parishad, and four businesses owned by persons from the Hindu community in Hatiya Upazila (Noakhali, Chittagong), amid the outbreak of violence after the resignation of the Prime Minister, following anti-government demonstrations emerging from the quota reform movement. The attackers also assaulted the mother of the Upazila Hindu Parishad President. The victims claim that the attackers were associated with the local BNP unit.",0,crowd size=no report,1723576772
BGD28035,5-Aug-24,2024,1,Political violence,Riots,Mob violence,Civilians (Bangladesh),Hindu Group (Bangladesh),Civilians,Rioters-Civilians,Civilian targeting,50,South Asia,Bangladesh,Chittagong,Noakhali,Hatiya,Hatiya,22.2883,91.1398,2,Prothom Alo,National,"On 5 August 2024, unidentified persons attacked, looted, and vandalized three houses, including that of the president of Upazila Hindu Parishad, and four businesses owned by persons from the Hindu community in Hatiya Upazila (Noakhali, Chittagong), amid the outbreak of violence after the resignation of the Prime Minister, following anti-government demonstrations emerging from the quota reform movement. The attackers also assaulted the mother of the Upazila Hindu Parishad President. The victims claim that the attackers were associated with the local BNP unit.",0,crowd size=no report,1723576772
BGD28036,5-Aug-24,2024,1,Political violence,Riots,Mob violence,Rioters (Bangladesh),Chhota Paik Para Communal Group (Bangladesh),Rioters,Rioters-Civilians,Civilian targeting,50,South Asia,Bangladesh,Khulna,Bagerhat,Bagerhat Sadar,Rakhalgachi,22.7025,89.6712,2,Prothom Alo,National,"On 5 August 2024, masked men assaulted, hacked, and killed a retired Hindu school teacher in Chhota Paik para village of Rakhalgachi Union of Bagerhat Sadar Upazila (Bagerhat, Khulna), amid the outbreak of violence after the resignation of the Prime Minister, following anti-government demonstrations emerging from the quota reform movement. The wife and daughter of the deceased were injured. They were admitted to Bagerhat District Hospital. One of the neighbors had threatened them hours before the attack. The two main accused are absconding.",1,crowd size=no report,1723576772
BGD28036,5-Aug-24,2024,1,Political violence,Riots,Mob violence,Civilians (Bangladesh),Chhota Paik Para Communal Group (Bangladesh); Hindu Group (Bangladesh),Civilians,Rioters-Civilians,Civilian targeting,50,South Asia,Bangladesh,Khulna,Bagerhat,Bagerhat Sadar,Rakhalgachi,22.7025,89.6712,2,Prothom Alo,National,"On 5 August 2024, masked men assaulted, hacked, and killed a retired Hindu school teacher in Chhota Paik para village of Rakhalgachi Union of Bagerhat Sadar Upazila (Bagerhat, Khulna), amid the outbreak of violence after the resignation of the Prime Minister, following anti-government demonstrations emerging from the quota reform movement. The wife and daughter of the deceased were injured. They were admitted to Bagerhat District Hospital. One of the neighbors had threatened them hours before the attack. The two main accused are absconding.",1,crowd size=no report,1723576772
BGD28044,5-Aug-24,2024,1,Political violence,Riots,Mob violence,Rioters (Bangladesh),Students (Bangladesh),Rioters,Rioters only,,50,South Asia,Bangladesh,Rajshahi,Naogaon,Naogaon Sadar,Naogaon,24.8042,88.9488,1,Dhaka Tribune,National,"On 5 August 2024, thousands of people, including students, set fire to the residence of member of parliament, Awami League offices, and motorbikes in Naogaon town, Naogaon Sadar (Rajshahi), amid the outbreak of violence after the resignation of the Prime Minister, following anti-government demonstrations emerging from the quota reform movement.",0,crowd size=thousands,1723576772
BGD28051,5-Aug-24,2024,1,Political violence,Riots,Mob violence,Rioters (Bangladesh),,Rioters,Rioters-Civilians,Civilian targeting,50,South Asia,Bangladesh,Rajshahi,Bogra,Sahajanpur,Shajahanpur,24.7666,89.4,2,Prothom Alo,National,"On 5 August 2024, unidentified assailants hacked and killed a local Jubo League leader at Kharna Bazar in Shajahanpur (Sahajanpur) upazila (Bogra, Rajshahi), amid the outbreak of violence after the resignation of the Prime Minister, following anti-government demonstrations emerging from the quota reform movement.",1,crowd size=no report,1723576772
BGD28051,5-Aug-24,2024,1,Political violence,Riots,Mob violence,Civilians (Bangladesh),Jubo League,Civilians,Rioters-Civilians,Civilian targeting,50,South Asia,Bangladesh,Rajshahi,Bogra,Sahajanpur,Shajahanpur,24.7666,89.4,2,Prothom Alo,National,"On 5 August 2024, unidentified assailants hacked and killed a local Jubo League leader at Kharna Bazar in Shajahanpur (Sahajanpur) upazila (Bogra, Rajshahi), amid the outbreak of violence after the resignation of the Prime Minister, following anti-government demonstrations emerging from the quota reform movement.",1,crowd size=no report,1723576772
BGD28052,5-Aug-24,2024,1,Political violence,Riots,Mob violence,Rioters (Bangladesh),,Rioters,Rioters-Civilians,Civilian targeting,50,South Asia,Bangladesh,Khulna,Satkhira,Satkhira Sadar,Satkhira,22.7082,89.0719,2,Prothom Alo,National,"On 5 August 2024, unidentified persons assaulted and killed an Awami League member of Baikari village, Sadar Upazila (Satkhira, Khulna), amid the outbreak of violence after the resignation of the Prime Minister, following anti-government demonstrations emerging from the quota reform movement.",1,crowd size=no report,1723576772
BGD28052,5-Aug-24,2024,1,Political violence,Riots,Mob violence,Civilians (Bangladesh),AL: Bangladesh Awami League,Civilians,Rioters-Civilians,Civilian targeting,50,South Asia,Bangladesh,Khulna,Satkhira,Satkhira Sadar,Satkhira,22.7082,89.0719,2,Prothom Alo,National,"On 5 August 2024, unidentified persons assaulted and killed an Awami League member of Baikari village, Sadar Upazila (Satkhira, Khulna), amid the outbreak of violence after the resignation of the Prime Minister, following anti-government demonstrations emerging from the quota reform movement.",1,crowd size=no report,1723576772
BGD28054,5-Aug-24,2024,1,Political violence,Riots,Mob violence,Rioters (Bangladesh),,Rioters,Rioters-Civilians,Civilian targeting,50,South Asia,Bangladesh,Khulna,Meherpur,Meherpur Sadar,Meherpur,23.7769,88.6303,1,Prothom Alo,National,"On 5 August 2024, unidentified persons vandalized and set ablaze the house of the District Awami League Legal Affairs Secretary with sticks, rods, and iron pipes; vandalized, looted and set ablaze at least 7 Hindu houses and assaulted occupants, including in Malopara area; and attacked and looted a Hindu business establishment in the Bara Bazar area, of Meherpur city (Meherpur Sadar, Khulna), amid the outbreak of violence after the resignation of the Prime Minister, following anti-government demonstrations emerging from the quota reform movement.",0,crowd size=no report,1723576772
